10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5
20,17,18,19,16,17,18,19,54,17,18,19,16,17,18,19,16,17,18,19,84,84,55,19,16,17,18,19,16,5
30,27,28,29,26,27,28,29,1610612787,27,28,98,87,27,28,29,26,27,28,29,26,27,-1610612685,29,26,27,28,29,26,5
30,7,8,9,6,7,8,9,1610612787,7,8,9,6,7,8,9,6,7,8,9,6,7,-1610612685,9,6,7,8,9,6,5
30,17,18,19,16,17,18,19,1610612787,17,18,19,16,17,18,19,16,17,18,19,16,17,-1610612685,19,16,17,18,19,16,5
30,27,28,29,26,27,28,29,1610612790,-1073741773,-1073741773,-1073741773,-1073741773,-1073741773,66,67,-1073741773,-1073741773,-1073741773,-1073741773,-1073741773,-1073741773,-1610612683,29,26,27,28,29,26,5
30,7,8,9,6,7,8,9,6,7,8,9,6,-2147483571,8,9,77,7,8,9,6,7,8,9,6,7,8,9,6,5
30,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,5
30,27,28,29,26,27,28,29,26,27,28,29,26,27,28,29,26,27,28,29,26,27,28,29,26,27,28,29,26,5
30,7,8,9,6,7,8,9,6,7,8,9,6,7,8,9,6,7,8,9,6,7,8,9,6,7,8,9,6,5
30,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,5
30,27,28,29,26,27,28,29,26,27,28,29,26,27,28,29,26,27,28,29,26,27,28,29,26,27,28,29,26,5
30,7,8,9,6,7,8,9,6,7,8,9,6,7,8,9,6,7,8,9,6,7,8,9,6,7,8,9,6,5
30,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,5
30,27,28,29,26,27,28,29,26,27,28,29,26,27,28,29,26,27,28,29,26,27,28,29,26,27,28,29,26,5
30,7,8,9,6,7,8,9,6,7,8,9,6,7,8,9,6,7,8,9,6,7,8,9,6,7,8,9,6,5
30,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,15
30,27,28,29,26,27,28,29,26,27,28,29,26,27,28,29,26,27,28,29,26,27,28,29,26,27,28,29,26,25
30,7,8,9,6,7,8,9,6,7,8,9,6,7,8,9,6,7,8,9,6,7,8,9,6,7,8,9,6,35
40,41,42,43,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,45
